0,3,6
8,10,6
16,3,6
24,4,6
32,5,6
40,3,6
48,9,6
56,8,6
64,3,6
72,2,6
80,10,6
88,1,6
96,8,6
104,2,6
112,4,6
120,2,6
128,9,6
136,10,6
144,10,6
152,5,6
160,1,6
168,10,6
176,9,6
184,1,6
192,2,6
200,6,6
208,8,6
216,4,6
224,7,6
232,1,6
240,3,6
248,6,6
256,3,6
264,1,6
272,1,6
280,9,6
288,9,6
296,7,6
304,3,6
312,8,6
320,10,6
328,6,6
336,5,6
344,6,6
352,9,6
360,5,6
368,4,6
376,3,6
384,7,6
392,2,6
400,1,6
408,4,6
416,1,6
424,7,6
432,6,6
440,6,6
448,7,6
456,5,6
464,7,6
472,9,6
480,6,6
488,2,6
496,5,6
504,5,6
512,10,6
520,2,6
528,7,6
536,10,6
544,7,6
552,4,6
560,9,6
568,2,6
576,8,6
584,6,6
592,4,6
600,4,6
608,8,6
616,5,6
624,8,6
632,8,6
