"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",4284800,"pseudo","","uc","jiel","folvedie","ar","duff","hai","tuhuvisir","zû","elfercibe","spu","faipadre","preslu","","","","fe","notys","sat","ir","afecler","cramièté","he","disgenquent","ui","ros","ansins","souvons","","","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle"
"2",4305400,"sentence","","Il","a","brisé","le","bouchon","de","la","bouteille","de","jus","de","raisin","","","","Il","sursaute","en","entendant","le","grincement","de","la","lourde","porte","en","bois","","","","Le","romancier","a","fini","le","manuscrit","promis","à","son","éditeur","si","impatient"
"3",4326000,"pseudo","","ol","uo","afie","ol","chanfois","ror","artité","zy","pserse","idresper","og","jinq","","","","zû","gâliverte","i","jeuma","os","enges","us","zo","salgne","ar","basaci","thâpre","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar"
"4",4346600,"sentence","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe","","","","La","mère","a","peur","que","son","enfant","tombe","dans","la","rivière","glacée","","","","Il","vérifie","les","installations","qui","assurent","la","sécurité","des","passagers","du","vol"
"5",4367200,"pseudo","","omb","ali","encomveux","zû","resjours","gix","i","gnuet","pix","toursonre","zû","sphême","","","","er","graï","gymce","glû","coubre","pui","glonfrée","gni","ux","brûne","da","setré","","","","iz","montiènie","phosté","re","bliol","vam","blimbe","ipé","iltodièle","cli","ko","bilres"
"6",4387800,"sentence","","Le","prêtre","salue","le","menuisier","qui","répare","le","plafond","de","la","chapelle","","","","Il","explique","que","son","inspiration","vient","de","ses","voyages","à","la","mer","","","","Tu","peux","jeter","les","revues","qui","traînent","sur","la","table","du","salon"
"7",4408400,"pseudo","","na","shuand","vaigle","pec","uo","faper","stertre","ub","olie","ox","vuste","désuilé","","","","gi","semenges","avièvec","ol","halècrets","kia","suisiter","armitît","ol","ol","préger","forvanges","","","","co","monvate","i","flipble","ps","ryan","he","er","aftasant","er","tâs","isièler"
"8",4429000,"sentence","","Il","écoute","le","concierge","raconter","les","aventures","du","locataire","du","premier","étage","","","","Le","locataire","raconte","que","la","gardienne","adore","éplucher","les","pommes","de","terre","","","","Le","chanvre","est","une","fibre","qui","donne","de","la","toile","trop","rêche"
"9",4449600,"pseudo","","cone","i","scinge","ps","sedaient","ir","anertres","enlenait","uo","fomanre","ia","prétairait","","","","ub","prérume","chosins","zy","têfile","ko","the","adenbes","ko","menna","zû","mênuvois","","","","jo","pasgara","zai","dro","ko","skaud","milbilsé","dépenrode","i","blouïe","ore","chetit"
"10",4470200,"sentence","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain","","","","Le","passant","examine","le","luxueux","canapé","abandonné","sur","le","bord","du","trottoir","","","","Le","voyageur","fait","coulisser","la","porte","de","son","compartiment","de","deuxième","classe"
"11",4490800,"pseudo","","da","gomçon","og","temiste","ar","briol","nil","hôgé","traîse","i","pobime","franne","","","","ol","fornonti","iphe","pouvetsisça","zaï","hômeune","dicume","mux","gû","zer","ko","ifletes","","","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais"
"12",4511400,"sentence","","Il","reçoit","un","sac","de","céréales","cultivées","dans","le","nord","du","pays","","","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Le","garagiste","parvient","à","extraire","le","clou","enfoncé","dans","le","pneu","avant"
"13",4532000,"pseudo","","qo","frècouble","i","noeu","he","bonviment","fipété","i","hes","renméte","jo","schyourte","","","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit","","","","za","fiste","alnuer","muo","ahijours","vry","conla","hul","grilsases","lo","gû","coumi"
"14",4552600,"sentence","","Il","efface","les","traces","de","son","passage","dans","le","champ","de","blé","","","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures","","","","Le","soleil","va","accélérer","la","fonte","de","cette","mince","couche","de","glace"
"15",4573200,"pseudo","","os","sevede","um","attennant","quelbien","taq","ailciplir","za","moutenqua","ze","meindre","imvez","","","","slé","trautre","chrompre","er","sercrime","gny","brymphe","mousonblité","lo","sadre","us","mârir","","","","zà","pabeux","mackets","zé","sciacre","ia","lèdonles","he","sotrée","femraîvent","um","aré"
"16",4593800,"sentence","","Le","coureur","fait","le","tour","de","la","piste","recouverte","de","bitume","dur","","","","Tes","enfants","refusent","de","lire","le","dernier","chapitre","de","ce","livre","ennuyeux","","","","Elle","a","brûlé","toutes","les","lettres","de","son","ancien","fiancé","trop","infidèle"
